,time,d1,d2,d3,mx,my,mz
0,0,0.35,0.12,0.1,0.43533333333333335,0.4024999999999999,0.47856176311016646
1,1,0.35,0.12,0.1,0.43533333333333335,0.4024999999999999,0.47856176311016646
2,2,0.35,0.12,0.1,0.43533333333333335,0.4024999999999999,0.47856176311016646
3,3,0.16,0.12,0.12,0.11233333333333334,0.12111111111111111,0.041069197853691765
4,4,0.14,0.28,0.13,-0.12100000000000002,0.0975,0.0674333003789671
5,5,0.38,0.16,0.11,0.47100000000000003,0.4575000000000001,0.5354878616738199
6,6,0.14,0.13,0.1,0.084,0.11666666666666665,0.03266666666666658
7,7,0.14,0.11,0.09,0.1,0.12194444444444445,0.07259784797681126
8,8,0.16,0.11,0.11,0.12000000000000002,0.1275,0.07110731326663948
9,9,0.15,0.09,0.1,0.12300000000000001,0.12472222222222222,0.09046895995892396
10,10,0.31,0.12,0.14,0.3473333333333334,0.3025,0.3406562702262274
11,11,0.29,0.13,0.14,0.29900000000000004,0.26916666666666667,0.27883990827075755
12,12,0.12,0.16,0.12,0.03766666666666666,0.09,0.06986574426872029
13,13,0.29,0.16,0.11,0.26999999999999996,0.29,0.26999999999999996
14,14,0.15,0.14,0.07,0.08466666666666665,0.1388888888888889,0.06291715108962395
15,15,0.16,0.13,0.09,0.104,0.13861111111111113,0.06655103397736802
16,16,0.16,0.07,0.09,0.14400000000000002,0.13861111111111113,0.11978747899282628
17,17,0.16,0.1,0.14,0.127,0.10666666666666666,0.04366666666666665
18,18,0.17,0.12,0.15,0.12333333333333335,0.10777777777777779,0.045528447218995266
19,19,0.15,0.13,0.15,0.09366666666666666,0.09,0.07501036965350562
20,20,0.14,0.39,0.11,-0.36666666666666675,0.11083333333333335,0.3565507989364521
21,21,0.29,0.15,0.09,0.2803333333333333,0.3011111111111111,0.29181274648710204
22,22,0.16,0.11,0.11,0.12000000000000002,0.1275,0.07110731326663948
23,23,0.15,0.11,0.11,0.10966666666666666,0.11888888888888889,0.060509054520892544
24,24,0.29,0.11,0.12,0.315,0.2836111111111111,0.3091282296162533
25,25,0.15,0.11,0.14,0.10966666666666666,0.09805555555555555,0.029297273711278708
26,26,0.13,0.15,0.13,0.05633333333333334,0.09,0.07501036965350562
27,27,0.14,0.13,0.11,0.084,0.11083333333333335,0.016123654121266075
28,28,0.37,0.13,0.1,0.475,0.4425,0.5334147073337967
29,29,0.37,0.13,0.1,0.475,0.4425,0.5334147073337967
